stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
National Theatre,,node/7041071415,9.0156938,38.7513097,0
A.A. Commercial College,,node/7041071416,9.0139102,38.7494881,0
A.A. Commercial College,,node/7041071418,9.0138228,38.7495568,0
Buna Ena Shay,,node/7041071419,9.0114261,38.7490599,0
Buna Ena Shay,,node/7041071420,9.0105922,38.7479733,0
Mexico Shebelle Hotel,,node/7041071423,9.0119916,38.7468862,0
TVET College (Tegbare'd),,node/7041071425,9.0105894,38.7429038,0
Federal Police (Tegbare'd),,node/7041071429,9.0103865,38.7426638,0
Lideta (Balcha Hospital),,node/7041071430,9.0109303,38.738603,0
Lideta (Balcha Hospital),,node/7041071431,9.0111161,38.7385604,0
Lideta Condominium,,node/7041071432,9.011233,38.7377815,0
Lideta Tsebel,,node/7041071433,9.0041706,38.733822,0
Dessie Hotel,,node/7041071434,9.0093091,38.7338119,0
High Court,,node/7041071435,9.0108572,38.7342297,0
Lideta High Court,,node/7041071437,9.0115829,38.733431,0
Hintsa College,,node/7041071439,9.0121559,38.7293132,0
Coca Cafe,,node/7041071441,9.0119411,38.7292339,0
Mekonenoch (Golf) Club,,node/7041071444,9.011282,38.7265458,0
Tor Hailoch Junction,,node/7041071446,9.0115616,38.7220202,0
Torhailoch,,node/7041071447,9.0119442,38.7216866,0
Tor Hailoch,,node/7041071448,9.0139112,38.7206478,0
Tor Hailoch,,node/7041071449,9.013939,38.7209168,0
Keranio Bridge,,node/7041071450,9.0194506,38.7089411,0
Medhanialem,,node/7041071451,9.0175679,38.7049748,0
Keranio Adebabay,,node/7041071452,9.0176634,38.7006446,0
Kokebe,,node/7041071453,9.0180779,38.6994971,0
Yeshi Debele,,node/7041071454,9.0195382,38.6954056,0
Yeshi Debele,,node/7041071455,9.0190748,38.6957701,0
Mariam,,node/7041071456,9.0231539,38.6884518,0
Anfo Meda,,node/7041071458,9.021983,38.6742682,0
St. Urael Church,,node/7041071459,9.0110433,38.7752596,0
St. Estifanos Church,,node/7041071462,9.0118738,38.7626376,0
St. Gebriel,,node/7041071464,9.0199107,38.7675809,0
Zenebewerk Hotel,,node/7041071465,9.0193852,38.7680315,0
Meles Zenawi Foundation,,node/7041071466,9.0206693,38.7715231,0
Azmari Bet (Traditional Music Club),,node/7041071468,9.0194316,38.770643,0
Kazanchis (6th),,node/7041071469,9.0166401,38.7702335,0
Hilton Hotel (Apartments),,node/7041071471,9.0196382,38.7638714,0
Women Square,,node/7041071473,9.0233468,38.7772342,0
Women Square,,node/7041071474,9.0234508,38.7771738,0
Aware Bridge,,node/7041071475,9.0244322,38.7765755,0
Arat Kilo,,node/7041071479,9.0319312,38.7633615,0
Arat Kilo,,node/7041071480,9.0321438,38.7652099,0
Bel Air,,node/7041071481,9.032458,38.7728461,0
Addis View Hotel,,node/7041071482,9.0324918,38.7730493,0
